id,struct_id,type
4901,5083,MONOCLONAL ANTIBODY
4902,5084,FUSION PROTEIN
4904,5086,MONOCLONAL ANTIBODY
4905,5087,FUSION PROTEIN
4906,5088,FUSION PROTEIN
4907,5089,FUSION PROTEIN
4908,5090,ORGANIC
4909,5091,FUSION PROTEIN
4910,5092,OLIGONUCLEOTIDE
4911,5093,MONOCLONAL ANTIBODY
4912,5094,MONOCLONAL ANTIBODY
4913,5095,RADIOPHARMACEUTICAL
4914,5096,RADIOPHARMACEUTICAL
4915,5097,ORGANIC
4916,5098,ORGANIC
4917,5099,PROTEIN
4918,5100,ORGANIC
4919,5092,MIXTURE
4920,5101,ENZYME
4921,5102,ENZYME
4922,5103,MIXTURE
4923,5104,UNKNOWN
4924,5105,FUSION PROTEIN
4925,5106,RADIOPHARMACEUTICAL
4926,5107,MIXTURE
4927,5107,POLYMER
4928,5108,MIXTURE
4929,5109,ENZYME
4930,5110,ORGANIC
4931,5112,MIXTURE
4932,5113,ORGANIC
4933,5114,MIXTURE
4934,5115,INORGANIC SALT
4936,5117,COORDINATION
4937,5118,INORGANIC
4938,5119,RADIOPHARMACEUTICAL
4939,5120,RADIOPHARMACEUTICAL
4940,5121,MIXTURE
4941,5122,MIXTURE
4942,5123,RADIOPHARMACEUTICAL
4943,5124,RADIOPHARMACEUTICAL
4944,5125,ORGANIC
4945,4717,POLYMER
4947,5126,MIXTURE
4948,5127,MONOCLONAL ANTIBODY
4949,5128,COORDINATION
4950,5128,POLYMER
4951,5129,ENZYME
4952,5127,RADIOPHARMACEUTICAL
4953,5130,ORGANIC
4954,5131,ENZYME
4880,5064,ORGANIC
4881,5065,ORGANIC
4882,5066,ENZYME
4883,5067,ORGANIC
4884,5068,ORGANIC
4886,5070,ENZYME
4887,5071,MONOCLONAL ANTIBODY
4888,5072,MONOCLONAL ANTIBODY
4889,5073,ORGANIC
4890,5074,MIXTURE
4891,5075,ORGANIC
4892,5076,COORDINATION
4893,5077,ORGANIC
4894,5078,ORGANIC
4895,4105,POLYMER
4896,5079,ORGANIC
4858,5045,ORGANIC
4859,5046,ORGANIC
4860,5047,ORGANIC
4861,5048,ORGANIC
4862,5049,ENZYME
4863,5050,DENDRIMER
4864,5051,ENZYME
4865,5052,ORGANIC
4866,4059,RADIOPHARMACEUTICAL
4867,5053,ORGANIC
4868,5054,ORGANIC
4869,5055,MONOCLONAL ANTIBODY
4870,5056,POLYMER
4871,5057,PEPTIDE
4873,5058,ORGANIC
4874,5059,ORGANIC
4875,5060,ORGANIC
4876,5061,MONOCLONAL ANTIBODY
4877,5062,ORGANIC
4878,5063,MONOCLONAL ANTIBODY
4831,5022,ORGANIC
4833,5024,PROTEIN
4834,5025,PROTEIN
4835,5026,PROTEIN
4836,5027,ORGANIC
4837,5028,ENZYME
4838,5029,ORGANIC
4839,5030,ENZYME
4840,5031,MONOCLONAL ANTIBODY
4842,5032,ORGANIC
4843,5033,ENZYME
4844,5034,MIXTURE
4845,5035,MIXTURE
4846,5036,RADIOPHARMACEUTICAL
4847,5036,INORGANIC SALT
4848,5037,ORGANIC
4849,5038,RADIOPHARMACEUTICAL
4850,5038,INORGANIC SALT
4851,5039,MIXTURE
4852,5040,ENZYME
4853,5041,MONOCLONAL ANTIBODY
4854,5041,RADIOPHARMACEUTICAL
4855,5042,PEPTIDE
4856,5043,ENZYME
4857,5044,ENZYME
4824,5016,MONOCLONAL ANTIBODY
4826,5017,PEPTIDE
4827,5018,ENZYME
4828,5019,PROTEIN
4829,5020,ORGANIC
4830,5021,ENZYME
4820,5012,ORGANIC
4821,5013,ORGANIC
4822,5014,ORGANIC
4823,5015,PROTEIN
4787,4989,ENZYME
4788,4990,ANTIBODY-DRUG CONJUGATE
4789,4991,PROTEIN
4791,4992,ORGANOMETALLIC
4792,4992,ORGANIC SALT
4793,4992,COORDINATION
4795,1318,ORGANIC SALT
4796,2987,POLYMER
4797,3613,MIXTURE
4798,4321,POLYMER
4799,4993,ORGANIC
4800,4994,ENZYME
4801,4995,PROTEIN
4802,4996,FUSION PROTEIN
4803,4997,ENZYME
4804,4998,INORGANIC SALT
4805,4999,ENZYME
4806,4488,INORGANIC SALT
4807,5000,MONOCLONAL ANTIBODY
4808,5001,ORGANIC
4809,5002,PEPTIDE
4810,5003,PEPTIDE
4811,5004,ENZYME
4812,5005,ORGANIC
4813,5006,ORGANIC
4814,5007,PROTEIN
4816,5008,ORGANIC
