struct_id,atc_code,id
2366,A10BX02,338
1886,A10BX03,339
2236,A10BX05,340
307,A10BX06,341
1818,A10BX08,342
2704,A10XA01,343
2831,A11CA01,344
345,A11CA02,345
2838,A11CC01,346
2841,A11CC02,347
130,A11CC03,348
466,A11CC04,349
2840,A11CC05,350
464,A11CC06,351
2832,A11DA01,352
2494,A11DA02,353
308,A11DA03,354
4072,A11GA01,355
1906,A11HA01,356
2836,A11HA02,357
3613,A11HA03,358
2834,A11HA04,359
373,A11HA05,360
3506,A11HA06,361
1444,A11HA07,362
4280,A11HA08,363
838,A11HA30,364
2055,A11HA31,365
3417,A11HA32,366
4441,A12AA01,367
4842,A12AA02,368
4348,A12AA03,369
4239,A12AA04,370
4383,A12AA05,371
4843,A12AA06,372
4201,A12AA07,373
4434,A12AA08,374
4433,A12AA10,375
4385,A12AA11,376
4479,A12AA13,377
4844,A12AA30,378
4199,A12BA01,379
4519,A12BA02,380
4694,A12BA03,381
4520,A12BA04,382
4524,A12BA05,383
4198,A12CA01,384
4212,A12CA02,385
4275,A12CB01,386
4343,A12CB02,387
4200,A12CC01,388
4290,A12CC02,389
4515,A12CC03,390
4281,A12CC04,391
4517,A12CC05,392
4592,A12CC06,393
4593,A12CC07,394
4597,A12CC08,395
4594,A12CC09,396
4293,A12CC10,397
4243,A12CD01,398
4252,A12CD02,399
4781,A12CE01,400
4782,A12CE02,401
3927,A14AA01,402
2477,A14AA02,403
1734,A14AA03,404
1743,A14AA04,405
2033,A14AA05,406
3823,A14AA06,407
795,A14AA07,408
2011,A14AA08,409
1961,A14AA09,410
1879,A14AB01,411
1094,A14AB02,412
4681,A14AB03,413
513,A16AA01,414
2414,A16AA02,415
1311,A16AA03,416
768,A16AA04,417
3068,A16AA05,418
347,A16AA06,419
4826,A16AA07,420
5129,A16AB01,421
4932,A16AB02,422
5021,A16AB03,423
5018,A16AB04,424
4997,A16AB05,425
5043,A16AB06,426
5030,A16AB07,427
5101,A16AB08,428
4918,A16AB09,429
4989,A16AB10,430
5199,A16AB11,431
4999,A16AB12,432
5049,A16AB13,433
5028,A16AB14,434
5230,A16AB17,435
5264,A16AB18,436
5340,A16AB19,437
4732,A16AX01,438
218,A16AX02,439
24,A16AX03,440
1944,A16AX04,441
4269,A16AX05,442
1807,A16AX06,443
2612,A16AX07,444
4718,A16AX08,445
4745,A16AX09,446
4834,A16AX10,447
4373,A16AX11,448
2738,A16AX12,449
5029,A16AX13,450
5110,A16AX14,451
5354,A16AX16,452
5399,A16AX17,453
5415,A16AX18,454
867,B01AA01,455
2130,B01AA02,456
2847,B01AA03,457
2138,B01AA04,458
48,B01AA07,459
1091,B01AA08,460
3111,B01AA09,461
4450,B01AA10,462
2674,B01AA11,463
1194,B01AA12,464
1358,B01AB01,465
4879,B01AB05,466
5162,B01AB06,467
4840,B01AB10,468
4726,B01AB11,469
4840,B01AB12,470
929,B01AC01,471
713,B01AC02,472
2161,B01AC03,473
708,B01AC04,474
2657,B01AC05,475
74,B01AC06,476
924,B01AC07,477
4387,B01AC08,478
1034,B01AC09,479
1439,B01AC10,480
1422,B01AC11,481
4950,B01AC13,482
4760,B01AC15,483
1040,B01AC16,484
2680,B01AC17,485
2744,B01AC18,486
343,B01AC19,487
2720,B01AC21,488
4113,B01AC22,489
644,B01AC23,490
4184,B01AC24,491
5006,B01AC25,492
4870,B01AC26,493
5077,B01AC27,494
5141,B01AD02,495
5109,B01AD04,496
5044,B01AD07,497
5066,B01AD11,498
2990,B01AE01,499
2995,B01AE02,500
239,B01AE03,501
2852,B01AE05,502
385,B01AE06,503
776,B01AE07,504
4182,B01AF01,505
4298,B01AF02,506
4897,B01AF03,507
5241,B01AF04,508
5092,B01AX01,509
2973,B01AX04,510
1236,B01AX05,511
5308,B01AX07,512
163,B02AA01,513
2713,B02AA02,514
22,B02AA03,515
4839,B02AB01,516
471,B02AB04,517
2843,B02BA01,518
1683,B02BA02,519
4729,B02BC03,520
96,B02BC05,521
4431,B02BC08,522
1028,B02BC09,523
5019,B02BD02,524
5173,B02BD10,525
5134,B02BD11,526
5069,B02BD14,527
1075,B02BX01,528
491,B02BX02,529
4996,B02BX04,530
4399,B02BX05,531
5268,B02BX06,532
5059,B02BX07,533
5285,B02BX08,534
5280,B02BX09,535
4261,B03AA02,536
4491,B03AA03,537
4542,B03AA04,538
4543,B03AA05,539
4544,B03AA06,540
4528,B03AA07,541
4545,B03AA08,542
4541,B03AA09,543
4540,B03AA10,544
5121,B03AB02,545
4709,B03AB03,546
4539,B03AB04,547
4391,B03AB07,548
