Entrez	GeneSymbol	GeneType	UMLS_CUI	Disease	TraitType	Cluster
3725	JUN	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
4193	MDM2	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_6
5052	PRDX1	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
5111	PCNA	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
5591	PRKDC	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
5921	RASA1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
5925	RB1	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
6714	SRC	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
7157	TP53	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
7409	VAV1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
7529	YWHAB	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
10298	PAK4	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
10413	YAP1	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
26524	LATS2	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_6
3265	HRAS	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
6774	STAT3	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
1454	CSNK1E	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
4869	NPM1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
5728	PTEN	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
23411	SIRT1	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
8801	SUCLG2	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
999	CDH1	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
3921	RPSA	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
2067	ERCC1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
94081	SFXN1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
191	AHCY	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
207	AKT1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
5315	PKM	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
29968	PSAT1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
2932	GSK3B	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
3838	KPNA2	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
4691	NCL	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
5537	PPP6C	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
5894	RAF1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
6182	MRPL12	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
1969	EPHA2	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
2047	EPHB1	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
3791	KDR	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
8743	TNFSF10	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_7
1432	MAPK14	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
2033	EP300	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
5499	PPP1CA	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
6198	RPS6KB1	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_6
6598	SMARCB1	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
22948	CCT5	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
369	ARAF	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
1387	CREBBP	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
4736	RPL10A	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
238	ALK	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
2099	ESR1	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
3178	HNRNPA1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
4255	MGMT	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
2597	GAPDH	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
9625	AATK	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
2146	EZH2	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
3981	LIG4	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
4292	MLH1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
3315	HSPB1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
3015	H2AZ1	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_8
